lat,lon,theta,delta_theta,y1,y2
30.5,-128.25,-0.38123741339723427,0.7968598316989381,0.698955889512225,0.7151647813729186
30.5,-128.0,-0.7888928344848595,0.38920441061131283,0.9252112409778291,0.3794524470447718
30.5,-127.75,-1.1224815142213134,0.055615730874858826,0.9984538438371333,0.05558706438420239
30.5,-127.5,-1.47452867869318,-0.2964314335970073,0.9563849874290294,-0.2921091505248941
30.5,-127.25,-2.0907084168170975,-0.9126111717209251,0.611682129667933,-0.7911036419110343
30.5,-127.0,-2.6586381710389877,-1.4805409259428153,0.090132913440519,-0.9959297454713981
30.5,-126.75,1.2335033059355465,2.411600551031719,-0.7451796688858466,0.6668637500113348
30.5,-126.5,0.8399712102350736,2.018068455331246,-0.43250761485278305,0.9016302807106451
30.75,-128.25,-0.9091534976520494,0.26894374744412275,0.96405209445041,0.2657133026135084
30.75,-128.0,-0.9873144622219981,0.19078278287417438,0.98185609876269,0.1896275331340649
30.75,-127.75,-1.3074023259821077,-0.1293050808859353,0.9916517395322352,-0.1289450560614556
30.75,-127.5,-2.146991506738869,-0.9688942616426965,0.5662112931643501,-0.8242601358146312
30.75,-127.25,-2.7620316653595407,-1.5839344202633683,-0.013137715511776228,-0.999913696491418
30.75,-127.0,-2.6918656008467177,-1.5137683557505452,0.05699706510911433,-0.9983743459088616
30.75,-126.75,-2.5227794908479675,-1.344682245751795,0.2241922230855248,-0.9745449436059737
30.75,-126.5,2.088697875570344,-3.0163901865130693,-0.9921724043641533,-0.12487561818968089
31.0,-128.25,-1.5952849608668773,-0.4171877157707051,0.9142320663105744,-0.40519097834169193
31.0,-128.0,-1.611795608787828,-0.4336983636916556,0.9074177969881936,-0.420229629737235
31.0,-127.75,-2.341733502506383,-1.1636362574102104,0.3960031645507428,-0.9182491457473823
31.0,-127.5,3.1373481492687274,-1.967739912814686,-0.386601384086264,-0.9222469136964271
31.0,-127.25,-3.134630577226495,-1.9565333321303227,-0.37624209007789666,-0.9265213919029694
31.0,-127.0,-2.8016469249540146,-1.6235496798578422,-0.05272888844001419,-0.9986088645329965
31.0,-126.75,-2.6777181051159786,-1.4996208600198062,0.07111538680397214,-0.9974680956099405
